rok,kraj,strana_cislo,strana_nazev,kandidat_cislo,kandidat,kandidat_vek,navrhujici_strana,prislusnost,prednostni_hlasy_abs,prednostni_hlasy_pct,mandat,poradi
2013,Jihočeský kraj,18,DSSS,10,Somolová Jana,54,DSSS,DSSS,36,1.31,-,NA
2013,Jihočeský kraj,13,Suveren.,18,Sosnová Františka,36,Suveren.,BEZPP,9,0.99,-,NA
2013,Jihočeský kraj,6,ODS,14,Souhrada Pavel,53,ODS,ODS,585,2.32,-,13
2013,Jihočeský kraj,18,DSSS,19,Sova Ivan,63,DSSS,BEZPP,10,0.36,-,NA
2013,Jihočeský kraj,6,ODS,7,Staněk Radim Bc.,40,ODS,ODS,1094,4.34,-,7
2013,Jihočeský kraj,20,ANO 2011,18,Starková Eva Ing.,35,ANO 2011,BEZPP,378,0.71,-,16
2013,Jihočeský kraj,2,Svobodní,9,Steinhauserová Irena Ing. Mgr.,52,Svobodní,Svobodní,86,1.18,-,NA
2013,Jihočeský kraj,5,HLVZHŮRU,13,Stierandová Alice,48,HLVZHŮRU,SBB,33,1.9,-,NA
2013,Jihočeský kraj,18,DSSS,3,Straka Roman,33,DSSS,DSSS,136,4.96,-,NA
2013,Jihočeský kraj,21,KSČM,11,Straka Zdeněk Ing.,59,KSČM,BEZPP,282,0.55,-,9
2013,Jihočeský kraj,13,Suveren.,21,Svatošová Karolina,27,Suveren.,BEZPP,21,2.31,-,NA
2013,Jihočeský kraj,6,ODS,21,Sviták Martin,48,ODS,ODS,331,1.31,-,20
2013,Jihočeský kraj,22,LEV 21,13,Svoboda Eduard,64,LEV 21,BEZPP,3,1.65,-,NA
2013,Jihočeský kraj,18,DSSS,6,Šafránek Jindřich,39,DSSS,DSSS,78,2.84,-,NA
2013,Jihočeský kraj,10,SsČR,8,Šafránek Josef,50,SsČR,SsČR,24,2.06,-,NA
2013,Jihočeský kraj,17,Úsvit,12,Šach Ivan Bc.,39,Úsvit,BEZPP,256,1.16,-,11
2013,Jihočeský kraj,9,Změna,3,Šámal Vladimír Ing.,61,Změna,BEZPP,78,3.56,-,NA
2013,Jihočeský kraj,23,SZ,11,Šanda Ondřej,35,SZ,SZ,87,1.13,-,NA
2013,Jihočeský kraj,23,SZ,9,Šandová Růžena,62,SZ,SZ,85,1.1,-,NA
2013,Jihočeský kraj,9,Změna,4,Šantek Lenka,32,Změna,KH,73,3.33,-,NA
2013,Jihočeský kraj,18,DSSS,9,Šarlejová Iveta,43,DSSS,DSSS,64,2.33,-,NA
2013,Jihočeský kraj,15,SPOZ,14,Šatra Quido,60,SPOZ,SPOZ,64,1.95,-,NA
2013,Jihočeský kraj,4,TOP 09,12,Šebestíková Petra Ing.,44,TOP 09,TOP 09,624,1.56,-,10
2013,Jihočeský kraj,17,Úsvit,17,Šebestová Alena Mgr.,49,Úsvit,BEZPP,369,1.67,-,16
2013,Jihočeský kraj,21,KSČM,6,Šedivý Ladislav,63,KSČM,KSČM,1396,2.72,-,4
2013,Jihočeský kraj,2,Svobodní,16,Škorpil Vratislav,47,Svobodní,Svobodní,62,0.85,-,NA
2013,Jihočeský kraj,23,SZ,14,Šmahel Lukáš Mgr.,35,SZ,SZ,105,1.36,-,NA
2013,Jihočeský kraj,24,KČ,1,Špaček Radim RNDr.,53,KČ,KČ,21,4.32,-,NA
2013,Jihočeský kraj,13,Suveren.,3,Špát Marek,42,Suveren.,BEZPP,16,1.76,-,NA
2013,Jihočeský kraj,11,KDU-ČSL,7,Štemberková Růžena Mgr.,36,KDU-ČSL,KDU-ČSL,535,2.57,-,8
2013,Jihočeský kraj,15,SPOZ,5,Štěrbová Kristina Ing.,27,SPOZ,SPOZ,119,3.64,-,NA
2013,Jihočeský kraj,2,Svobodní,15,Štercl Ladislav,57,Svobodní,Svobodní,51,0.7,-,NA
2013,Jihočeský kraj,1,ČSSD,12,Šulc Ivan,49,ČSSD,ČSSD,913,1.41,-,9
2013,Jihočeský kraj,4,TOP 09,10,Švec Jiří Bc.,37,TOP 09,STAN,566,1.42,-,8
2013,Jihočeský kraj,20,ANO 2011,10,Švec Vladimír Ing.,58,ANO 2011,BEZPP,566,1.07,-,8
2013,Jihočeský kraj,22,LEV 21,18,Švec Zdeněk,29,LEV 21,BEZPP,7,3.86,-,NA
2013,Jihočeský kraj,22,LEV 21,15,Švecová Aneta,29,LEV 21,BEZPP,4,2.2,-,NA
2013,Jihočeský kraj,17,Úsvit,4,Švehlová Marie Ing.,28,Úsvit,BEZPP,574,2.6,-,3
2013,Jihočeský kraj,11,KDU-ČSL,19,Talíř Jaromír Ing.,63,KDU-ČSL,KDU-ČSL,1265,6.09,-,5
2013,Jihočeský kraj,11,KDU-ČSL,9,Talíř Pavel Mgr.,47,KDU-ČSL,KDU-ČSL,699,3.36,-,10
2013,Jihočeský kraj,17,Úsvit,13,Telingerová Miroslava Mgr.,44,Úsvit,BEZPP,505,2.29,-,12
2013,Jihočeský kraj,13,Suveren.,6,Tesková Anna,38,Suveren.,BEZPP,22,2.42,-,NA
2013,Jihočeský kraj,13,Suveren.,13,Tománková Eva,44,Suveren.,BEZPP,11,1.21,-,NA
2013,Jihočeský kraj,22,LEV 21,7,Tomášková Elena Mgr.,45,LEV 21,LEV 21,5,2.76,-,NA
2013,Jihočeský kraj,23,SZ,10,Tomek Bronislav Bc.,32,SZ,SZ,205,2.67,-,NA
2013,Jihočeský kraj,20,ANO 2011,11,Toufar Jiří PaedDr. Mgr.,71,ANO 2011,BEZPP,447,0.84,-,9
2013,Jihočeský kraj,4,TOP 09,18,Trambová Petra Ing. arch.,39,TOP 09,TOP 09,975,2.45,-,16
2013,Jihočeský kraj,23,SZ,12,Trantina Pavel,37,SZ,BEZPP,159,2.07,-,NA
2013,Jihočeský kraj,2,Svobodní,12,Trojan Václav PhDr.,59,Svobodní,Svobodní,145,2,-,NA
2013,Jihočeský kraj,6,ODS,16,Troup Josef Ing.,49,ODS,ODS,803,3.19,-,15
2013,Jihočeský kraj,4,TOP 09,7,Troup Zdeněk PhDr.,58,TOP 09,BEZPP,1344,3.38,-,5
2013,Jihočeský kraj,2,Svobodní,4,Třeštík Jan Ing.,34,Svobodní,Svobodní,206,2.84,-,NA
2013,Jihočeský kraj,1,ČSSD,18,Třeštík Martin Mgr.,57,ČSSD,ČSSD,501,0.77,-,15
2013,Jihočeský kraj,2,Svobodní,21,Tureček Jan,35,Svobodní,Svobodní,59,0.81,-,NA
2013,Jihočeský kraj,20,ANO 2011,3,Tyc Jiří Ing.,52,ANO 2011,BEZPP,1255,2.37,-,1
2013,Jihočeský kraj,3,Piráti,1,Urban Václav Mgr.,49,Piráti,Piráti,404,5.47,-,NA
2013,Jihočeský kraj,4,TOP 09,2,Vácha František prof. RNDr. Ph.D.,47,TOP 09,BEZPP,3061,7.69,*,1
2013,Jihočeský kraj,21,KSČM,20,Válek Josef Ing.,66,KSČM,KSČM,270,0.52,-,18
2013,Jihočeský kraj,1,ČSSD,6,Valhoda Václav Ing.,54,ČSSD,ČSSD,1096,1.69,-,3
